epoch,loss,val_loss,,
"lr=0.001, decay=0.0, stability constant='None' (DEFAULT)",,,,
0,20.75690436,14.56033604,,
1,13.61125584,11.60026373,,
2,12.91234722,11.52539659,,
3,11.52279873,10.77629217,,
4,10.6211525,10.39253671,,
5,9.918579102,10.19014015,,
6,10.12083778,9.881775285,,
7,10.29695454,9.783730756,,
8,9.875778961,9.749247756,,
9,9.340360069,9.716654873,,
"lr=0.001, decay=0.97, stability constant=0.1 ",,,,Best result
0,4.027697659,3.1564766,,
1,3.673545504,3.155826548,,
2,3.817233706,3.155138996,,
3,3.708707952,3.15493384,,
4,4.305560112,3.154549313,,
5,4.160327196,3.154390719,,
6,4.152576065,3.15428182,,
7,3.899884272,3.154226516,,
8,4.235912609,3.15427508,,
9,4.114695787,3.154423215,,
"lr=0.0001, decay=0.5, stability constant=0.1",,,,
0,3.935335207,3.157140664,,
1,4.159071302,3.157093925,,
2,3.921631098,3.157027366,,
3,3.766009665,3.15692525,,
4,4.222498083,3.156799347,,
5,4.080511284,3.156696436,,
6,3.417553234,3.156584178,,
7,3.998127556,3.156463631,,
8,3.81575098,3.156411161,,
9,4.20870676,3.156346918,,
